,C,E,M,P,S,V
0,0.72,0.4615384615384616,0.18055555555555555,0.39999999999999997,0.33088235294117646,0.49477351916376305
1,0.6981132075471699,0.25882352941176473,0.34705882352941175,0.4943181818181819,0.34306569343065696,0.34177215189873417
2,0.8914728682170542,0.28151260504201686,0.3010033444816054,0.46621621621621623,0.3372093023255814,0.38752783964365256
3,0.7815126050420169,0.297741273100616,0.2,0.3018018018018018,0.3574468085106383,0.3971631205673759
4,0.7556818181818181,0.2894736842105263,0.44244604316546765,0.33788395904436863,0.32460732984293195,0.3593220338983051
5,0.7372262773722627,0.46511627906976744,0.16176470588235295,0.32432432432432434,0.3673469387755102,0.4554794520547945
6,0.7902097902097903,0.2389162561576355,0.4382470119521913,0.4676258992805756,0.3891891891891892,0.37299771167048057
7,0.5785714285714285,0.35211267605633806,0.1534653465346535,0.44202898550724634,0.3629032258064516,0.3477366255144033
8,0.773006134969325,0.43750000000000006,0.15079365079365079,0.33333333333333326,0.42780748663101603,0.421875
9,0.7625899280575539,0.3192488262910798,0.254957507082153,0.25146198830409355,0.36305732484076436,0.3840399002493766
10,0.7195121951219512,0.4125326370757181,0.17699115044247787,0.3127753303964757,0.3620689655172414,0.4758620689655172
11,0.6666666666666666,0.3846153846153846,0.17058823529411768,0.362962962962963,0.37142857142857144,0.3688524590163934
12,0.8,0.4074074074074074,0.22706422018348624,0.42857142857142855,0.32558139534883723,0.35989010989010994
13,0.8970588235294118,0.49583333333333335,0.30581039755351686,0.46710526315789475,0.3655913978494624,0.3887640449438202
14,0.6759776536312849,0.4367088607594937,0.14720812182741114,0.31578947368421056,0.35813953488372097,0.4869281045751634
15,0.8015267175572518,0.41131105398457585,0.1913875598086124,0.32467532467532473,0.3865979381443299,0.5028735632183908
16,0.6896551724137931,0.4508474576271187,0.1440677966101695,0.3421052631578947,0.3888888888888889,0.3584905660377359
17,0.689655172413793,0.30109890109890114,0.18699186991869915,0.3499999999999999,0.3564356435643564,0.4554794520547945
18,0.946969696969697,0.35106382978723405,0.31301939058171746,0.3459459459459459,0.3387096774193548,0.38271604938271603
19,0.7125,0.18497109826589594,0.3881019830028329,0.3895348837209302,0.36641221374045807,0.3795180722891566
20,1.0,0.425233644859813,0.306930693069307,0.4,0.29896907216494845,0.3771760154738878
21,0.6467065868263473,0.4778067885117493,0.22891566265060243,0.30624999999999997,0.3532608695652174,0.4525316455696202
22,0.6907894736842105,0.46688741721854304,0.29607250755287007,0.42857142857142855,0.33613445378151263,0.3959276018099548
23,0.7123287671232876,0.4832826747720365,0.13100436681222707,0.27751196172248804,0.3657142857142857,0.41025641025641024
24,0.7218045112781956,0.42622950819672123,0.20114942528735633,0.33936651583710403,0.35256410256410264,0.44670050761421315
25,0.8134328358208955,0.4117647058823529,0.22169811320754718,0.49305555555555564,0.3119266055045872,0.32229965156794427
26,0.7884615384615384,0.4258064516129032,0.16666666666666669,0.3855421686746988,0.3862068965517241,0.37639198218262804
27,0.6642335766423357,0.3961218836565097,0.21276595744680848,0.34020618556701027,0.3772727272727273,0.32876712328767127
28,0.9133858267716537,0.2255772646536412,0.20224719101123598,0.44382022471910115,0.3743016759776536,0.43986254295532645
29,0.711229946524064,0.4534313725490196,0.2043010752688172,0.32258064516129037,0.40983606557377056,0.330749354005168
30,0.851851851851852,0.4295081967213115,0.10328638497652583,0.44202898550724645,0.3859649122807018,0.3433583959899749
31,0.880952380952381,0.6833333333333333,0.18000000000000002,0.2959641255605381,0.3913043478260869,0.40406976744186046
32,0.8389261744966442,0.41329479768786126,0.136986301369863,0.23448275862068965,0.3658536585365854,0.4086021505376344
33,0.9186046511627907,0.4233128834355828,0.14444444444444446,0.3563218390804597,0.3645320197044335,0.4136904761904762
34,0.8130841121495326,0.1933534743202417,0.27499999999999997,0.45000000000000007,0.32323232323232326,0.4187192118226601
35,0.9217391304347826,0.3380782918149466,0.2346938775510204,0.3609756097560976,0.3800623052959502,0.3993808049535603
36,0.8636363636363635,0.30681818181818177,0.1476510067114094,0.37419354838709673,0.38541666666666663,0.40942928039702237
37,0.8062015503875968,0.3833333333333333,0.24338624338624343,0.34418604651162793,0.42857142857142855,0.3807531380753138
38,0.9487179487179488,0.3294797687861272,0.2526997840172786,0.36548223350253806,0.3305785123966942,0.3566666666666667
39,0.753968253968254,0.31952662721893493,0.3042328042328042,0.360655737704918,0.3432835820895523,0.40256959314775165
40,0.8074074074074074,0.29775280898876405,0.2706766917293233,0.3379310344827587,0.3598130841121496,0.4174454828660436
41,0.7662337662337663,0.40326975476839233,0.1398305084745763,0.3025210084033614,0.42635658914728686,0.41916167664670667
42,0.7727272727272727,0.23053892215568864,0.39694656488549623,0.3333333333333333,0.37394957983193283,0.35627530364372473
43,0.6917808219178083,0.4157894736842105,0.2395209580838323,0.2397476340694006,0.3529411764705882,0.3782051282051282
44,0.8359788359788358,0.4610169491525424,0.2155688622754491,0.2761904761904762,0.3725490196078431,0.31865284974093266
45,0.8095238095238096,0.4044117647058824,0.22222222222222224,0.46875,0.35797665369649806,0.40983606557377045
46,0.7847222222222223,0.5039370078740159,0.24226804123711343,0.39199999999999996,0.311284046692607,0.48039215686274506
47,0.8815789473684211,0.16591928251121077,0.42245989304812837,0.3362445414847161,0.3739130434782609,0.3945205479452055
48,0.8016528925619835,0.32402234636871513,0.29955947136563876,0.36612021857923494,0.35294117647058826,0.4478114478114478
49,0.7,0.22459893048128346,0.19999999999999998,0.371841155234657,0.30405405405405406,0.4568345323741007
50,0.8981481481481483,0.5581395348837209,0.17553191489361708,0.2807017543859649,0.3726415094339623,0.42175066312997345
51,0.8220338983050848,0.4850746268656716,0.10416666666666669,0.26033057851239666,0.418848167539267,0.40532544378698226
52,0.8076923076923077,0.31027253668763105,0.14285714285714285,0.29464285714285715,0.40236686390532544,0.3634259259259259
53,0.8703703703703703,0.225609756097561,0.23749999999999996,0.3651452282157676,0.4144736842105263,0.3627450980392157
54,0.7718120805369127,0.3384615384615384,0.26436781609195403,0.410958904109589,0.3615023474178403,0.41191066997518605
55,0.9411764705882352,0.2506811989100818,0.3153153153153153,0.3754789272030652,0.32616487455197135,0.4154929577464789
56,0.9108910891089108,0.4947089947089947,0.1437908496732026,0.3238636363636364,0.3754940711462451,0.40779220779220776
57,0.8514851485148516,0.4576923076923077,0.09036144578313252,0.3958333333333333,0.3191489361702127,0.34135667396061276
58,0.8701298701298701,0.20950323974082072,0.2222222222222222,0.24615384615384617,0.4090909090909091,0.4074074074074074
59,0.9621212121212122,0.529100529100529,0.288135593220339,0.3763440860215053,0.36734693877551017,0.4066985645933014
60,0.7721518987341772,0.19411764705882353,0.2823218997361478,0.37113402061855666,0.3923076923076923,0.3415300546448087
61,0.7631578947368421,0.3418803418803419,0.22598870056497172,0.38864628820960695,0.36898395721925137,0.44502617801047123
62,0.6993464052287582,0.3068592057761733,0.11574074074074074,0.3286713286713287,0.31683168316831684,0.37471783295711053
63,0.9647887323943662,0.4912280701754386,0.14054054054054055,0.3804878048780488,0.4218009478672986,0.43362831858407086
64,0.6486486486486486,0.3285198555956678,0.11165048543689321,0.3076923076923077,0.3632075471698113,0.3808219178082191
65,0.7586206896551724,0.31160896130346233,0.6999999999999998,0.3230088495575221,0.2947368421052632,0.37027707808564236
66,0.6935483870967742,0.19069767441860463,0.4034334763948498,0.3537414965986395,0.31578947368421056,0.36363636363636365
67,0.8787878787878789,0.28210526315789475,0.0625,0.38554216867469876,0.3598326359832636,0.37669376693766937
68,0.8881578947368421,0.4081632653061224,0.1984732824427481,0.31862745098039214,0.39487179487179486,0.4318181818181818
69,0.7209302325581396,0.21111111111111108,0.45562130177514787,0.31501831501831495,0.3828571428571429,0.48474576271186437
70,0.763358778625954,0.3031914893617021,0.26287262872628725,0.3739130434782609,0.34210526315789475,0.3484162895927602
71,0.7833333333333333,0.2928870292887029,0.33333333333333337,0.2807017543859649,0.36082474226804123,0.47211895910780666
72,0.6621621621621622,0.5565476190476191,0.22600619195046437,0.2962962962962963,0.36538461538461536,0.42125984251968507
73,0.9999999999999998,0.18589743589743593,0.24427480916030533,0.3579335793357933,0.3641304347826087,0.49789029535864976
74,0.7241379310344828,0.4555256064690027,0.19083969465648853,0.32735426008968616,0.35514018691588783,0.45814977973568277
75,0.8346456692913385,0.28179551122194507,0.19531250000000003,0.32369942196531787,0.3836206896551725,0.36011080332409967
76,0.8189655172413794,0.5,0.10952380952380952,0.391304347826087,0.38341968911917096,0.3947990543735225
77,0.7288135593220337,0.7034482758620689,0.32608695652173914,0.31741573033707865,0.4023668639053255,0.4121037463976945
78,0.6624203821656051,0.3579234972677596,0.1744186046511628,0.32323232323232326,0.3824884792626728,0.41333333333333333
79,0.9423076923076922,0.3605442176870748,0.33865814696485624,0.3241379310344828,0.39285714285714285,0.4156769596199525
80,0.7187500000000001,0.4104234527687296,0.19523809523809524,0.39382239382239387,0.3819444444444445,0.33333333333333337
81,0.7867647058823529,0.4232673267326733,0.19021739130434784,0.346749226006192,0.3908629441624365,0.411764705882353
82,0.6639999999999999,0.3816793893129771,0.19374999999999998,0.3836734693877551,0.3461538461538462,0.34934497816593885
83,0.6594202898550724,0.2554744525547445,0.37262357414448666,0.387434554973822,0.361344537815126,0.42771084337349397
84,0.73943661971831,0.37709497206703907,0.2578947368421053,0.32850241545893727,0.37209302325581395,0.488673139158576
85,0.9711538461538461,0.4821917808219178,0.16568047337278108,0.38582677165354334,0.3881278538812785,0.4147582697201017
86,0.8921568627450979,0.4744318181818182,0.21808510638297873,0.32962962962962966,0.37967914438502676,0.38781163434903043
87,0.6515151515151515,0.47432024169184295,0.19553072625698323,0.32905982905982906,0.2713178294573643,0.3594936708860759
88,0.9557522123893806,0.26911314984709483,0.3604336043360434,0.37558685446009393,0.3333333333333333,0.45686900958466453
89,0.8518518518518519,0.2972972972972973,0.28571428571428575,0.39814814814814814,0.3568464730290456,0.4171122994652407
90,0.7708333333333333,0.3857868020304569,0.3536895674300255,0.3298429319371728,0.357487922705314,0.4454022988505747
91,0.6419753086419753,0.47740112994350276,0.1910569105691057,0.3486590038314176,0.3580246913580247,0.4212328767123288
92,0.7,0.4369973190348526,0.2301255230125523,0.393939393939394,0.3358778625954198,0.3978260869565218
93,0.9871794871794871,0.20634920634920637,0.36704119850187267,0.3206896551724138,0.3804347826086956,0.34364261168384874
94,0.7352941176470589,0.36507936507936506,0.17605633802816903,0.2892156862745098,0.3661971830985915,0.39943342776203966
95,0.7692307692307694,0.4696485623003195,0.24213836477987416,0.3653846153846154,0.36752136752136755,0.35267857142857145
96,0.7385620915032679,0.3367875647668394,0.21529745042492915,0.2666666666666667,0.4222222222222223,0.4169184290030212
97,0.8759124087591241,0.4791666666666667,0.264026402640264,0.31788079470198677,0.3888888888888889,0.3525641025641025
98,0.9900990099009901,0.390728476821192,0.2647058823529412,0.3641025641025642,0.350210970464135,0.3978494623655914
99,0.8369565217391304,0.38505747126436785,0.2839195979899497,0.37254901960784315,0.36170212765957444,0.3805970149253731
