,F1-score
0,0.2012771564630642
1,0.2671930561384695
2,0.18461353824186136
3,0.193122394619906
4,0.1769044272997702
5,0.21326993785101347
6,0.18582949294635076
7,0.19201725124828684
8,0.24008153834941695
9,0.19158161377191094
10,0.19892110542555172
11,0.17835013317203507
12,0.2864251946986634
13,0.18562214452091752
14,0.25148398609865996
15,0.2090499742009521
16,0.1997925661890537
17,0.1939826064478872
18,0.1956447166026203
19,0.18398635281234763
20,0.17834736938210236
21,0.20783079389066342
22,0.18941621271103812
23,0.20717479828681631
24,0.19335439017894954
25,0.19658890919773683
26,0.174931717889478
27,0.19106717450873192
28,0.17870810894037661
29,0.21113016488642797
30,0.2049340222628521
31,0.18041252771925875
32,0.19863158533144318
33,0.18838686677652558
34,0.17789125367522537
35,0.18321757864881175
36,0.19280800761428926
37,0.17108783961297502
38,0.1907182792739359
39,0.16760811591368052
40,0.26796689279260877
41,0.20383934638768622
42,0.1966571610456862
43,0.21787611030288215
44,0.21115295808522458
45,0.19900884139080732
46,0.19726775811037037
47,0.18370977668409635
48,0.17687580400989644
49,0.2194463313995026
50,0.2043524804354014
51,0.19440980573149
52,0.19564616467831922
53,0.19009930876871828
54,0.18556725806645347
55,0.17358648287972356
56,0.19409552623986562
57,0.1956724502131554
58,0.1822918737960757
59,0.21003271350436734
60,0.17458418514663596
61,0.18493417737331327
62,0.17851917004365178
63,0.20210376121693638
64,0.2651970804292026
65,0.17909027477934045
66,0.2087114669467048
67,0.19999232412033427
68,0.18019262213378784
69,0.1768506623003128
70,0.1869248857946073
71,0.16981591617260683
72,0.20246463110560997
73,0.18211497354373993
74,0.19465780302707358
75,0.19794362292850964
76,0.20068195776342304
77,0.20086168831245013
78,0.18747058254291663
79,0.20145770913911668
80,0.18346157772784585
81,0.2011055142588222
82,0.1999499530073534
83,0.27849990887027926
84,0.2772851373791148
85,0.21082320729761808
86,0.20089562783805293
87,0.19858144591218121
88,0.19179629134362727
89,0.1894962571903583
90,0.19913531300884738
91,0.1879610545073247
92,0.20125471110857895
93,0.18563275533296106
94,0.19645800566319552
95,0.18075195985905224
96,0.1985630869853865
97,0.18185517048145236
98,0.17043583606095533
99,0.2498954189846158
